Acedamic_percentage_in_Operating_Systems,percentage_in_Algorithms,Percentage_in_Programming_Concepts,Percentage_in_Software_Engineering,Percentage_in_Computer_Networks,Percentage_in_Electronics_Subjects,Percentage_in_Computer_Architecture,Percentage_in_Mathematics,Percentage_in_Communication_skills,Logical_quotient_rating,coding_skills_rating,self-learning_capability,Extra-courses_did,certifications,workshops,talenttests_taken,reading_and_writing_skills,memory_capability_score,Interested_subjects,interested_career_area,Job_Higher_Studies,Suggested_elective_Course
61,77,76,67,88,63,69,78,80,2,8,no,yes,shell programming,game development,no,excellent,medium,data engineering,developer,job,4
70,89,93,68,92,94,60,63,75,1,3,no,yes,app development,cloud computing,yes,excellent,poor,data engineering,security,higherstudies,6
67,80,70,63,62,62,83,71,74,7,5,yes,yes,machine learning,database security,yes,excellent,medium,Management,system developer,job,7
72,80,71,66,83,91,94,83,72,9,3,no,no,machine learning,cloud computing,yes,medium,medium,data engineering,security,higherstudies,8
69,78,94,66,69,68,65,84,84,2,8,yes,yes,distro making,testing,yes,excellent,medium,Software Engineering,system developer,higherstudies,14
64,70,74,94,60,70,84,93,75,8,2,no,yes,shell programming,system designing,yes,poor,medium,Management,security,job,22
69,85,85,83,83,92,83,81,62,1,9,no,no,shell programming,system designing,no,excellent,poor,parallel computing,testing,higherstudies,8
75,78,92,76,89,85,89,77,62,7,8,yes,no,information security,game development,yes,medium,poor,programming,cloud computing,higherstudies,18
75,84,83,69,75,71,70,79,64,1,1,yes,no,machine learning,web technologies,yes,medium,medium,IOT,Business process analyst,job,2
61,67,63,83,89,78,73,88,82,4,4,no,no,machine learning,cloud computing,no,poor,poor,parallel computing,developer,job,15
94,84,94,88,68,86,61,71,61,4,3,no,yes,hadoop,web technologies,no,poor,excellent,data engineering,system developer,job,5
90,91,70,65,81,83,74,75,91,9,1,no,no,information security,web technologies,no,excellent,excellent,networks,testing,higherstudies,20
77,73,87,74,62,66,89,74,74,5,1,no,yes,full stack,testing,no,poor,medium,cloud computing,cloud computing,higherstudies,12
62,80,92,88,74,69,82,71,92,2,1,no,yes,machine learning,data science,yes,excellent,excellent,cloud computing,developer,job,18
78,73,62,85,85,89,87,93,88,5,9,no,yes,app development,data science,yes,excellent,excellent,Computer Architecture,Business process analyst,job,20
93,87,87,81,74,63,82,85,74,2,4,yes,no,machine learning,web technologies,yes,poor,poor,data engineering,security,higherstudies,25
76,70,90,67,91,93,77,83,66,5,3,yes,no,shell programming,data science,no,poor,poor,data engineering,Business process analyst,higherstudies,6
81,88,91,76,64,90,82,93,76,3,2,yes,no,app development,hacking,no,medium,poor,Management,testing,higherstudies,8
65,92,60,92,86,60,61,60,85,1,5,no,no,hadoop,system designing,yes,medium,medium,Computer Architecture,developer,job,3
71,83,92,88,84,60,73,90,64,5,4,yes,yes,app development,database security,no,medium,medium,Management,cloud computing,job,8
90,72,91,62,65,85,86,82,67,1,9,no,yes,information security,hacking,no,excellent,excellent,parallel computing,Business process analyst,job,15
81,64,90,85,75,82,83,93,80,7,9,yes,no,distro making,data science,no,medium,medium,IOT,Business process analyst,job,10
91,85,68,93,91,75,87,72,64,7,3,yes,no,r programming,web technologies,yes,medium,excellent,data engineering,developer,higherstudies,29
89,73,70,65,67,67,60,71,94,9,4,yes,no,app development,system designing,yes,excellent,excellent,programming,testing,job,18
71,82,79,91,87,78,88,74,91,6,7,no,yes,hadoop,data science,no,excellent,poor,Software Engineering,cloud computing,job,19
63,62,85,78,78,89,88,79,87,1,7,yes,no,full stack,game development,no,excellent,medium,programming,developer,higherstudies,21
76,94,74,73,82,89,64,92,64,2,2,no,yes,python,hacking,no,poor,poor,IOT,cloud computing,job,19
75,84,64,68,90,74,82,88,78,4,7,yes,yes,r programming,game development,no,medium,excellent,programming,developer,job,31
61,91,74,61,79,69,92,74,84,5,4,yes,no,r programming,testing,no,poor,medium,IOT,security,higherstudies,4
88,65,84,73,83,94,92,66,94,2,7,no,no,information security,testing,yes,poor,medium,parallel computing,Business process analyst,job,20
93,79,91,76,68,89,91,81,72,5,6,yes,no,information security,hacking,yes,excellent,medium,IOT,developer,job,23
61,79,75,87,68,75,81,70,92,9,3,no,yes,shell programming,data science,no,medium,medium,Management,security,higherstudies,17
74,77,83,65,71,69,68,91,67,5,3,yes,no,shell programming,hacking,no,excellent,excellent,programming,testing,job,4
92,77,89,93,72,60,94,86,80,1,5,yes,yes,information security,cloud computing,no,excellent,medium,cloud computing,testing,job,29
66,81,89,68,75,72,77,83,80,9,7,yes,yes,shell programming,data science,yes,excellent,excellent,hacking,security,job,2
81,87,73,71,74,79,65,74,67,4,5,yes,yes,information security,data science,yes,poor,medium,parallel computing,security,higherstudies,0
65,73,74,69,81,73,86,79,70,4,9,no,no,hadoop,system designing,yes,medium,medium,programming,system developer,higherstudies,13
66,81,63,71,63,64,72,83,68,7,3,no,yes,app development,testing,no,poor,excellent,cloud computing,system developer,higherstudies,21
65,63,64,68,69,71,64,82,84,5,7,no,yes,information security,system designing,yes,poor,poor,Software Engineering,developer,job,20
63,80,88,61,79,80,60,81,72,5,3,no,no,python,database security,yes,poor,medium,cloud computing,testing,higherstudies,23
60,69,70,65,71,91,90,73,83,8,5,yes,no,machine learning,system designing,no,poor,excellent,hacking,system developer,higherstudies,20
83,77,70,61,67,78,60,72,76,4,7,no,yes,python,system designing,yes,excellent,excellent,parallel computing,Business process analyst,job,6
78,86,92,75,60,80,90,93,72,4,6,yes,yes,machine learning,web technologies,yes,poor,excellent,hacking,developer,higherstudies,12
86,65,93,85,84,91,82,94,92,4,2,yes,no,python,web technologies,no,excellent,poor,Software Engineering,Business process analyst,job,28
66,74,94,72,70,69,73,76,86,4,7,no,yes,full stack,cloud computing,yes,excellent,excellent,Software Engineering,developer,higherstudies,23
60,82,91,62,75,84,73,91,71,7,3,no,no,full stack,game development,yes,poor,excellent,hacking,Business process analyst,job,17
93,67,90,77,93,74,61,66,72,2,4,no,no,python,data science,yes,poor,medium,IOT,cloud computing,job,16
71,91,81,90,77,62,64,71,88,9,7,yes,yes,hadoop,web technologies,no,poor,poor,networks,testing,job,31
78,94,72,69,74,71,75,91,87,2,2,yes,yes,full stack,cloud computing,no,medium,excellent,parallel computing,cloud computing,higherstudies,24
87,61,88,61,89,74,81,81,92,5,6,no,yes,full stack,data science,no,medium,medium,parallel computing,developer,higherstudies,17
69,60,91,61,69,88,63,80,68,9,1,yes,yes,app development,testing,yes,excellent,medium,hacking,cloud computing,higherstudies,32
72,75,61,85,75,80,86,65,82,6,1,yes,no,shell programming,data science,yes,poor,medium,networks,security,higherstudies,29
68,84,61,85,88,79,77,89,88,5,7,yes,yes,python,game development,yes,poor,poor,Management,testing,higherstudies,29
84,72,85,68,73,64,86,86,71,2,8,no,no,full stack,testing,yes,poor,poor,Software Engineering,testing,job,12
87,71,67,74,66,64,82,69,67,9,4,no,yes,hadoop,testing,no,poor,medium,Software Engineering,security,higherstudies,12
91,80,81,60,93,72,80,69,62,9,3,yes,no,shell programming,cloud computing,no,excellent,medium,cloud computing,cloud computing,job,29
86,83,64,87,86,73,92,72,67,1,5,no,yes,r programming,game development,yes,poor,excellent,data engineering,Business process analyst,higherstudies,31
64,60,77,87,89,70,81,92,72,8,7,no,no,app development,game development,yes,excellent,excellent,networks,cloud computing,higherstudies,15
89,68,62,61,78,82,64,68,71,8,2,no,yes,shell programming,system designing,yes,medium,medium,networks,cloud computing,job,19
84,70,81,73,61,80,86,70,76,2,9,yes,yes,full stack,data science,yes,medium,excellent,Management,testing,job,5
74,67,76,93,89,68,79,63,74,1,4,yes,yes,app development,cloud computing,yes,medium,excellent,programming,system developer,job,20
77,77,94,87,85,84,82,82,68,1,6,yes,no,information security,data science,no,medium,poor,networks,testing,higherstudies,7
85,87,80,81,84,62,89,60,83,4,2,yes,yes,full stack,game development,no,excellent,poor,programming,developer,higherstudies,29
83,83,61,87,86,83,84,77,86,3,4,yes,no,machine learning,game development,no,poor,excellent,Management,security,job,32
75,77,74,86,71,77,69,80,64,5,3,yes,no,shell programming,testing,no,excellent,excellent,Computer Architecture,testing,job,26
86,67,80,91,73,80,86,76,89,3,8,yes,yes,distro making,system designing,yes,excellent,excellent,hacking,security,job,31
88,65,94,80,75,71,72,87,61,9,7,yes,yes,shell programming,database security,no,excellent,poor,Computer Architecture,Business process analyst,job,15
87,78,88,75,90,89,79,76,94,3,4,yes,yes,app development,game development,no,medium,medium,Management,security,job,15
86,85,85,61,82,93,80,64,86,5,7,yes,yes,hadoop,game development,yes,poor,poor,data engineering,cloud computing,job,0
87,84,90,93,94,66,81,85,93,1,6,no,yes,distro making,system designing,no,poor,poor,programming,security,higherstudies,6
74,69,82,92,68,78,70,70,69,5,7,yes,no,r programming,web technologies,no,poor,excellent,cloud computing,testing,job,26
70,91,88,85,78,86,61,69,67,7,2,yes,yes,hadoop,web technologies,yes,excellent,poor,Software Engineering,system developer,job,18
85,66,81,78,85,70,78,70,80,9,4,yes,yes,app development,game development,no,medium,excellent,hacking,Business process analyst,higherstudies,11
61,90,63,94,66,84,80,92,81,2,9,no,no,python,data science,no,medium,excellent,networks,security,higherstudies,30
79,72,86,85,62,66,81,78,86,2,6,no,no,python,web technologies,no,excellent,medium,Management,developer,job,31
76,63,72,89,85,66,65,89,69,2,7,no,yes,python,data science,yes,poor,poor,Computer Architecture,system developer,job,28
81,88,90,67,68,92,82,86,69,5,6,yes,yes,distro making,cloud computing,no,excellent,poor,IOT,testing,job,25
79,68,75,64,61,94,81,90,62,8,2,no,no,hadoop,testing,yes,poor,medium,data engineering,Business process analyst,job,10
73,78,92,65,73,75,93,71,75,8,4,no,yes,full stack,system designing,yes,excellent,excellent,IOT,testing,higherstudies,3
70,92,73,82,62,74,90,64,88,5,2,yes,yes,distro making,system designing,yes,excellent,excellent,hacking,Business process analyst,job,20
80,86,90,70,60,82,87,76,61,7,3,yes,no,python,testing,no,medium,excellent,IOT,Business process analyst,job,4
74,69,69,78,80,69,90,68,69,6,5,yes,no,full stack,hacking,no,poor,medium,Computer Architecture,Business process analyst,job,10
79,63,80,78,63,62,70,61,75,5,7,no,yes,python,hacking,no,excellent,excellent,Management,developer,higherstudies,23
72,82,70,67,80,72,93,75,90,3,9,yes,no,full stack,data science,yes,medium,excellent,Management,Business process analyst,higherstudies,1
71,75,63,78,91,60,73,83,63,2,3,yes,no,app development,database security,yes,excellent,poor,hacking,Business process analyst,higherstudies,31
83,90,88,82,94,84,88,85,93,9,2,no,no,app development,game development,no,poor,excellent,networks,Business process analyst,job,20
85,90,76,85,91,92,92,62,77,6,4,yes,no,shell programming,game development,yes,poor,medium,Management,Business process analyst,job,33
75,67,84,75,83,69,68,72,75,6,7,yes,yes,python,database security,no,poor,excellent,Software Engineering,testing,higherstudies,1
74,67,90,86,86,85,85,91,79,6,9,yes,yes,distro making,data science,yes,excellent,medium,Management,testing,higherstudies,13
73,75,75,69,84,89,70,88,88,6,6,yes,no,r programming,system designing,yes,poor,poor,cloud computing,developer,higherstudies,32
92,74,86,79,91,72,64,92,86,5,5,yes,no,python,system designing,yes,excellent,medium,programming,security,higherstudies,33
72,92,66,64,86,88,83,68,90,7,7,yes,yes,machine learning,cloud computing,no,excellent,excellent,programming,security,job,29
66,71,79,90,88,62,79,77,90,3,5,no,yes,python,hacking,yes,medium,medium,Computer Architecture,Business process analyst,job,18
61,86,86,63,84,80,91,68,64,8,1,no,yes,machine learning,game development,no,medium,medium,cloud computing,security,job,3
76,89,85,65,80,60,88,76,86,6,2,no,yes,app development,testing,yes,medium,medium,Management,testing,higherstudies,26
87,84,88,69,60,65,61,65,92,4,4,yes,no,r programming,database security,no,poor,excellent,programming,security,higherstudies,3
62,86,62,80,71,80,78,65,82,5,1,no,yes,machine learning,cloud computing,no,medium,poor,programming,cloud computing,higherstudies,29
66,92,91,65,66,69,86,64,78,1,4,yes,no,full stack,database security,no,medium,excellent,hacking,developer,higherstudies,18
71,89,73,64,83,84,72,75,66,5,3,no,no,app development,database security,no,excellent,poor,IOT,Business process analyst,higherstudies,6
83,88,86,77,74,77,91,73,60,5,9,no,yes,information security,system designing,no,excellent,medium,hacking,testing,job,13
92,63,76,81,77,61,75,92,78,7,8,no,yes,python,game development,no,medium,medium,Management,security,job,33
94,68,73,89,75,70,63,63,69,2,5,yes,no,r programming,web technologies,no,medium,excellent,IOT,testing,job,33
86,85,90,79,80,60,73,78,76,3,2,no,no,information security,data science,no,excellent,poor,cloud computing,system developer,job,1
64,77,67,67,61,89,92,93,90,5,9,yes,no,r programming,game development,yes,poor,medium,Computer Architecture,security,job,19
93,91,92,88,68,86,94,86,71,2,5,yes,no,shell programming,data science,no,poor,excellent,programming,cloud computing,job,10
72,72,84,83,84,86,62,80,67,6,4,yes,no,shell programming,database security,yes,excellent,poor,hacking,Business process analyst,higherstudies,24
94,81,94,66,90,73,66,94,80,4,2,yes,yes,machine learning,data science,no,excellent,medium,IOT,system developer,higherstudies,26
80,87,66,70,94,80,77,81,79,1,5,no,no,machine learning,web technologies,yes,poor,medium,Computer Architecture,Business process analyst,higherstudies,11
73,70,81,76,79,92,77,73,80,7,9,no,yes,shell programming,system designing,yes,medium,medium,Management,cloud computing,higherstudies,4
93,70,90,88,89,81,69,65,62,7,3,yes,no,hadoop,database security,no,poor,poor,Software Engineering,developer,higherstudies,1
79,69,86,60,71,92,89,79,74,6,1,yes,yes,distro making,web technologies,yes,excellent,poor,networks,security,job,20
70,67,61,83,70,61,79,88,61,6,8,yes,yes,r programming,web technologies,no,excellent,poor,networks,security,job,1
71,75,87,60,63,67,61,92,67,3,7,no,no,r programming,web technologies,no,medium,medium,data engineering,system developer,higherstudies,31
78,75,76,75,66,77,61,71,65,4,2,no,yes,r programming,hacking,yes,poor,poor,data engineering,developer,job,29
69,65,76,74,81,60,91,94,60,1,3,no,yes,hadoop,data science,yes,medium,excellent,data engineering,system developer,higherstudies,15
77,82,87,85,76,85,86,69,82,8,8,no,no,r programming,system designing,yes,poor,excellent,Computer Architecture,developer,job,16
86,64,64,62,66,64,68,61,68,6,8,yes,no,app development,game development,no,excellent,medium,Computer Architecture,testing,job,32
76,78,67,75,91,78,86,80,91,8,1,yes,no,python,system designing,yes,excellent,excellent,IOT,security,higherstudies,21
70,80,87,82,76,89,70,65,62,6,9,no,no,hadoop,cloud computing,yes,poor,medium,Management,developer,higherstudies,14
79,77,71,87,73,76,75,75,94,2,8,yes,no,app development,web technologies,no,medium,excellent,hacking,system developer,higherstudies,10
90,91,73,66,86,64,94,75,86,7,7,yes,no,distro making,web technologies,no,poor,excellent,cloud computing,developer,higherstudies,31
81,67,79,60,76,89,94,78,85,2,7,no,no,machine learning,system designing,yes,excellent,poor,networks,testing,job,24
69,61,92,63,78,61,81,93,70,1,4,no,no,hadoop,data science,yes,excellent,excellent,Computer Architecture,system developer,higherstudies,17
60,73,69,61,75,76,70,73,94,2,2,yes,no,app development,data science,no,poor,excellent,Management,developer,higherstudies,9
94,92,92,84,78,73,72,63,81,8,4,no,yes,machine learning,web technologies,no,medium,poor,IOT,developer,higherstudies,5
73,68,94,73,75,83,75,76,61,5,1,yes,yes,full stack,data science,no,medium,excellent,Management,developer,job,30
85,76,77,84,66,87,94,68,72,3,6,no,no,full stack,hacking,yes,poor,poor,IOT,developer,higherstudies,21
72,69,62,72,77,61,69,83,72,4,7,no,yes,hadoop,hacking,no,medium,poor,Software Engineering,testing,job,18
81,65,78,86,86,94,74,69,65,4,1,no,no,app development,hacking,yes,medium,medium,networks,cloud computing,higherstudies,28
90,65,63,83,86,77,82,81,87,6,4,no,yes,r programming,hacking,yes,medium,medium,networks,developer,job,15
79,61,68,92,93,61,76,83,67,7,1,no,yes,shell programming,web technologies,yes,medium,medium,cloud computing,cloud computing,higherstudies,20
74,69,76,72,70,86,60,94,93,9,3,yes,no,information security,web technologies,yes,poor,excellent,networks,developer,higherstudies,12
66,72,68,80,63,90,73,92,71,8,6,no,no,machine learning,system designing,no,excellent,medium,IOT,testing,job,19
79,79,69,74,74,93,89,71,61,3,3,yes,yes,shell programming,data science,no,excellent,excellent,cloud computing,testing,higherstudies,18
89,72,81,93,63,85,93,63,81,4,1,no,no,r programming,database security,yes,medium,excellent,IOT,cloud computing,higherstudies,14
75,67,92,73,67,68,65,79,69,5,1,yes,yes,full stack,game development,yes,excellent,medium,Management,Business process analyst,job,26
89,88,77,67,82,84,88,65,77,8,5,yes,yes,app development,game development,no,excellent,medium,IOT,cloud computing,higherstudies,16
76,82,65,93,69,88,94,72,69,8,2,no,no,python,system designing,yes,poor,medium,cloud computing,system developer,higherstudies,0
68,92,75,82,63,78,90,89,68,1,3,no,yes,app development,system designing,no,medium,excellent,hacking,Business process analyst,job,21
90,62,75,61,86,74,73,85,82,8,3,no,yes,hadoop,data science,no,excellent,poor,networks,Business process analyst,job,25
64,87,89,80,86,70,86,75,87,7,2,yes,yes,full stack,testing,yes,excellent,excellent,parallel computing,security,job,29
93,70,81,89,94,68,86,92,64,3,1,yes,no,distro making,system designing,no,poor,medium,Computer Architecture,Business process analyst,job,20
78,65,65,65,61,67,85,90,78,9,9,yes,yes,shell programming,testing,no,poor,medium,Software Engineering,cloud computing,job,10
92,75,90,69,71,89,78,84,85,8,6,yes,yes,information security,data science,yes,medium,excellent,hacking,testing,higherstudies,28
87,60,75,76,65,66,75,91,88,7,5,yes,yes,hadoop,database security,yes,medium,medium,cloud computing,system developer,job,12
64,88,63,70,72,90,61,64,60,8,9,no,no,hadoop,testing,no,poor,excellent,Software Engineering,security,job,10
92,81,65,76,64,85,88,78,91,3,4,yes,no,machine learning,database security,no,medium,medium,cloud computing,developer,higherstudies,2
60,61,65,67,61,85,88,91,60,8,6,no,yes,information security,system designing,no,medium,poor,IOT,testing,higherstudies,11
73,89,82,67,92,74,78,69,83,8,5,no,no,information security,database security,yes,excellent,excellent,Computer Architecture,developer,job,7
67,60,84,68,74,72,82,66,74,6,6,no,yes,shell programming,cloud computing,no,poor,excellent,data engineering,testing,higherstudies,30
72,73,64,91,63,81,94,90,91,4,9,yes,no,app development,testing,yes,medium,excellent,networks,testing,job,2
74,62,89,67,68,65,92,82,74,5,8,yes,yes,app development,hacking,yes,poor,excellent,data engineering,cloud computing,higherstudies,2
69,69,91,80,85,75,61,69,74,5,3,no,yes,machine learning,web technologies,yes,poor,poor,parallel computing,system developer,job,33
81,88,78,72,94,64,79,93,77,9,6,no,no,app development,cloud computing,no,medium,medium,cloud computing,cloud computing,job,23
72,73,68,69,73,78,94,74,72,6,1,yes,yes,r programming,web technologies,yes,poor,excellent,cloud computing,developer,job,0
83,83,72,84,67,72,74,86,66,8,1,no,yes,r programming,web technologies,no,poor,excellent,parallel computing,testing,job,16
81,87,68,76,82,75,91,84,73,5,2,yes,yes,information security,hacking,yes,excellent,poor,Management,system developer,job,28
62,64,77,91,88,61,88,86,73,4,8,yes,no,distro making,data science,no,poor,excellent,data engineering,developer,job,31
67,92,77,89,68,72,84,64,92,5,6,yes,no,r programming,cloud computing,no,poor,excellent,programming,system developer,higherstudies,26
69,70,83,91,86,94,73,77,70,2,7,yes,yes,distro making,hacking,no,excellent,medium,parallel computing,developer,job,25
91,74,64,76,91,93,94,74,78,2,8,yes,yes,r programming,game development,yes,excellent,poor,IOT,Business process analyst,higherstudies,31
65,60,70,73,80,82,64,78,83,4,5,yes,no,distro making,database security,no,poor,medium,Software Engineering,developer,higherstudies,20
71,68,89,68,65,66,90,64,84,9,2,no,yes,hadoop,testing,no,excellent,poor,parallel computing,cloud computing,higherstudies,19
77,71,72,76,67,61,70,78,90,9,8,no,yes,r programming,testing,no,medium,excellent,programming,cloud computing,higherstudies,6
67,82,75,73,92,71,76,90,75,1,5,yes,no,shell programming,cloud computing,no,poor,poor,data engineering,developer,higherstudies,3
65,60,77,70,87,85,62,94,74,4,3,yes,no,information security,data science,no,medium,poor,parallel computing,system developer,job,20
79,73,76,67,84,88,92,73,88,7,5,no,no,shell programming,data science,no,excellent,medium,cloud computing,security,job,2
84,74,72,93,83,60,88,79,89,2,6,no,no,information security,game development,yes,excellent,poor,programming,testing,higherstudies,16
83,64,82,86,71,80,75,66,68,3,3,no,yes,hadoop,cloud computing,no,excellent,excellent,IOT,security,job,3
71,67,70,84,87,76,69,93,60,6,9,no,yes,full stack,game development,yes,medium,medium,networks,testing,job,1
78,74,69,90,78,66,85,63,60,1,9,no,no,hadoop,system designing,yes,excellent,poor,programming,system developer,higherstudies,26
65,80,86,72,61,71,70,78,75,2,7,yes,no,full stack,hacking,yes,poor,excellent,IOT,testing,higherstudies,9
80,89,71,72,73,75,64,94,86,9,6,no,no,hadoop,hacking,yes,medium,poor,Computer Architecture,developer,higherstudies,20
69,84,61,93,85,77,74,78,70,7,8,yes,yes,machine learning,data science,no,medium,poor,Computer Architecture,system developer,higherstudies,5
69,84,83,81,94,88,75,72,63,2,4,yes,no,python,game development,no,excellent,excellent,Management,cloud computing,higherstudies,8
65,85,83,83,73,71,94,89,61,6,2,no,yes,shell programming,data science,yes,excellent,medium,Software Engineering,security,higherstudies,30
89,71,76,77,70,67,62,80,69,3,7,yes,yes,distro making,testing,yes,excellent,excellent,data engineering,Business process analyst,job,13
94,74,66,79,80,82,66,93,91,9,9,yes,no,r programming,web technologies,no,poor,excellent,parallel computing,cloud computing,job,22
87,70,72,66,84,71,89,64,70,2,6,yes,yes,app development,database security,no,medium,medium,data engineering,testing,higherstudies,2
78,65,67,62,70,72,66,94,69,4,1,yes,no,distro making,database security,yes,medium,poor,Management,system developer,job,21
77,77,86,67,76,70,88,73,81,4,4,no,no,full stack,web technologies,no,poor,excellent,Management,cloud computing,higherstudies,13
72,61,80,64,71,61,77,88,83,2,1,yes,yes,r programming,game development,yes,poor,poor,IOT,testing,job,11
88,91,94,64,60,86,82,79,93,9,5,no,no,r programming,testing,no,medium,poor,cloud computing,cloud computing,job,11
68,81,67,74,79,74,62,84,74,7,9,yes,no,app development,hacking,no,poor,excellent,parallel computing,cloud computing,job,24
70,60,70,66,84,64,94,81,77,5,8,no,no,hadoop,cloud computing,no,medium,excellent,networks,testing,job,32
72,84,94,79,61,87,78,80,92,5,8,yes,yes,machine learning,database security,yes,medium,medium,Management,security,job,31
64,91,83,65,76,69,68,82,88,3,6,yes,yes,hadoop,data science,no,poor,poor,Software Engineering,developer,job,22
65,78,76,80,92,69,83,75,90,3,5,yes,yes,shell programming,system designing,yes,excellent,medium,parallel computing,developer,higherstudies,16
60,69,74,65,77,80,92,82,74,7,2,yes,yes,information security,cloud computing,no,medium,excellent,parallel computing,Business process analyst,job,16
86,64,82,87,85,63,64,71,68,5,1,no,no,hadoop,testing,no,poor,excellent,Software Engineering,developer,job,29
89,60,85,75,65,68,75,77,72,3,3,no,yes,hadoop,cloud computing,yes,excellent,excellent,Software Engineering,testing,higherstudies,4
88,75,81,73,60,81,75,73,73,4,3,no,no,full stack,web technologies,yes,excellent,poor,cloud computing,Business process analyst,job,20
61,93,83,84,82,71,76,88,77,8,4,no,no,hadoop,cloud computing,no,excellent,excellent,parallel computing,cloud computing,higherstudies,12
61,94,85,63,82,76,69,65,73,2,6,yes,yes,hadoop,web technologies,no,excellent,medium,Software Engineering,cloud computing,higherstudies,9
79,69,93,94,72,77,60,69,82,8,8,yes,yes,app development,web technologies,no,excellent,medium,Software Engineering,developer,higherstudies,5
80,62,72,85,76,68,65,81,76,4,7,no,no,information security,web technologies,yes,poor,excellent,parallel computing,cloud computing,job,28
63,77,70,70,62,68,62,93,84,5,1,no,yes,full stack,testing,yes,medium,medium,networks,cloud computing,higherstudies,33
73,68,92,68,62,70,78,85,88,4,1,yes,no,shell programming,hacking,yes,medium,excellent,programming,Business process analyst,higherstudies,32
74,76,61,79,80,70,60,71,78,8,3,no,no,distro making,hacking,no,excellent,poor,networks,testing,higherstudies,20
89,80,87,73,65,71,77,65,72,5,4,yes,no,machine learning,game development,yes,medium,excellent,cloud computing,developer,higherstudies,24
73,82,70,81,91,82,77,94,60,6,3,no,no,shell programming,database security,yes,poor,medium,data engineering,Business process analyst,job,7
64,82,68,81,88,92,64,63,90,1,9,yes,yes,full stack,cloud computing,no,medium,excellent,data engineering,developer,higherstudies,18
89,62,61,81,63,86,64,65,69,8,2,yes,no,shell programming,testing,no,excellent,poor,networks,cloud computing,job,4
88,71,71,92,74,70,62,92,82,5,8,no,yes,shell programming,testing,no,excellent,poor,IOT,testing,higherstudies,32
67,79,87,79,70,69,88,75,80,2,8,no,no,app development,game development,no,medium,excellent,parallel computing,cloud computing,higherstudies,11
62,82,71,83,66,77,72,72,64,8,9,yes,no,shell programming,cloud computing,yes,medium,excellent,Software Engineering,cloud computing,higherstudies,11
65,75,66,65,74,65,87,83,63,9,3,yes,yes,hadoop,cloud computing,no,poor,excellent,Software Engineering,testing,job,3
91,76,62,67,68,60,87,91,67,3,2,no,no,hadoop,data science,yes,excellent,poor,data engineering,developer,job,6
76,75,82,78,89,83,71,86,75,8,5,yes,no,shell programming,database security,yes,excellent,excellent,hacking,system developer,higherstudies,29
67,88,85,83,81,62,71,90,69,7,4,yes,no,full stack,testing,no,poor,excellent,IOT,cloud computing,job,15
89,72,68,63,94,61,86,75,63,5,3,no,no,hadoop,game development,yes,excellent,medium,IOT,testing,higherstudies,25
94,93,93,78,79,64,64,84,91,4,6,yes,no,information security,database security,yes,excellent,poor,networks,developer,higherstudies,8
91,69,87,74,85,92,84,86,62,2,7,yes,no,machine learning,database security,yes,excellent,medium,cloud computing,security,job,31
67,66,78,66,91,74,90,73,86,3,8,yes,yes,shell programming,data science,yes,excellent,poor,hacking,security,higherstudies,14
86,85,76,82,93,64,64,88,75,4,3,no,yes,machine learning,hacking,no,poor,medium,Software Engineering,testing,job,4
70,92,76,71,90,80,83,72,94,6,6,no,no,full stack,cloud computing,yes,poor,medium,parallel computing,Business process analyst,higherstudies,10
64,65,66,70,93,61,78,80,89,5,4,no,yes,python,web technologies,yes,poor,medium,parallel computing,testing,higherstudies,28
68,62,60,64,92,66,77,64,84,6,4,yes,no,shell programming,cloud computing,no,excellent,excellent,Management,cloud computing,job,11
91,93,79,65,93,91,89,81,62,8,2,no,yes,machine learning,system designing,yes,excellent,medium,Computer Architecture,Business process analyst,job,12
93,61,61,93,63,74,77,82,73,9,6,no,yes,full stack,system designing,no,medium,poor,Management,system developer,job,27
79,94,63,87,61,87,88,62,85,5,1,no,no,full stack,system designing,no,poor,excellent,Management,developer,higherstudies,10
69,64,77,70,69,86,62,61,78,1,3,yes,yes,hadoop,system designing,yes,poor,excellent,IOT,cloud computing,higherstudies,31
64,89,77,84,94,79,94,65,87,6,3,yes,no,python,cloud computing,no,poor,excellent,Computer Architecture,developer,higherstudies,20
90,81,70,80,69,72,94,88,68,2,4,yes,yes,python,data science,no,poor,excellent,IOT,security,higherstudies,17
88,67,87,85,61,71,91,72,71,6,9,yes,yes,app development,cloud computing,yes,poor,poor,Management,developer,higherstudies,26
68,81,74,65,89,77,67,80,68,3,5,no,no,distro making,data science,no,poor,poor,cloud computing,cloud computing,job,4
88,62,78,65,83,63,81,65,88,3,7,no,yes,shell programming,data science,no,excellent,poor,Computer Architecture,security,job,20
84,68,75,62,94,78,86,72,73,3,8,no,yes,python,testing,yes,medium,medium,data engineering,cloud computing,higherstudies,11
67,78,93,89,81,93,67,72,87,6,3,yes,yes,machine learning,hacking,no,excellent,medium,parallel computing,Business process analyst,job,28
81,77,75,62,85,70,88,91,63,5,4,no,no,shell programming,hacking,yes,poor,excellent,networks,system developer,job,17
69,71,78,75,88,61,66,82,84,3,1,yes,yes,python,game development,yes,medium,excellent,data engineering,system developer,job,1
84,74,60,76,85,92,70,73,66,1,8,yes,yes,distro making,cloud computing,no,poor,excellent,networks,Business process analyst,higherstudies,18
